lat,lon,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-25.055521,30.137463,301.19,0.53,0.67,2015/11/1,0,N,VIIRS,n,1,287.14,1.72,N,0
-24.814491,26.831173,306.05,0.33,0.55,2015/11/1,0,N,VIIRS,n,1,292.11,1.51,N,2
-24.810696,26.832558,313.54,0.33,0.55,2015/11/1,0,N,VIIRS,n,1,295.94,1.49,N,2
-24.660688,28.596384,302.84,0.42,0.61,2015/11/1,0,N,VIIRS,n,1,288.2,4.88,N,0
-24.655367,28.586311,297.48,0.42,0.61,2015/11/1,0,N,VIIRS,n,1,283.84,6.06,N,0
-24.656063,28.595037,319.65,0.42,0.61,2015/11/1,0,N,VIIRS,n,1,285.29,4.81,N,0
-24.6611,28.585714,327.7,0.42,0.61,2015/11/1,0,N,VIIRS,n,1,284.63,6.06,N,0
-24.661446,28.590027,367,0.42,0.61,2015/11/1,0,N,VIIRS,h,1,293.37,6.06,N,0
-24.661787,28.594311,338.64,0.42,0.61,2015/11/1,0,N,VIIRS,n,1,290.18,4.81,N,0
-24.814001,30.120649,316.43,0.52,0.67,2015/11/1,0,N,VIIRS,n,1,291.83,2.33,N,2
-24.820267,30.119743,305.46,0.52,0.67,2015/11/1,0,N,VIIRS,n,1,291.58,1.17,N,0
-25.348742,32.929359,300.14,0.78,0.78,2015/11/1,0,N,VIIRS,n,1,285.9,4.26,N,0
-25.343145,29.9652,304.2,0.52,0.67,2015/11/1,0,N,VIIRS,n,1,286.88,1.81,N,0
-25.34609,29.918701,300.96,0.52,0.66,2015/11/1,0,N,VIIRS,n,1,288,1.2,N,0
-25.512449,29.763704,343.65,0.51,0.66,2015/11/1,0,N,VIIRS,n,1,287.15,6.39,N,0
-25.512808,29.768768,340.77,0.51,0.66,2015/11/1,0,N,VIIRS,n,1,286.7,5.01,N,0
-25.513168,29.773849,300.76,0.51,0.66,2015/11/1,0,N,VIIRS,n,1,285.02,5.01,N,0
-25.518663,29.763355,296.01,0.51,0.66,2015/11/1,0,N,VIIRS,n,1,285.59,6.39,N,0
70.44545,68.369453,337.47,0.37,0.58,2015/11/1,112,N,VIIRS,n,1,260,3.21,N,0
62.695896,16.802769,308.55,0.4,0.37,2015/11/1,112,N,VIIRS,n,1,277.49,0.99,N,0
51.564663,-3.768281,302.07,0.44,0.63,2015/11/1,118,N,VIIRS,n,1,282.8,1.37,N,2
51.564751,-3.774848,309.08,0.44,0.63,2015/11/1,118,N,VIIRS,n,1,283.71,3.94,N,2
51.564846,-3.781509,333.51,0.44,0.63,2015/11/1,118,N,VIIRS,n,1,282.75,3.94,N,2
51.570518,-3.767964,325.11,0.44,0.63,2015/11/1,118,N,VIIRS,n,1,283.74,1.37,N,2
51.576477,-3.774304,302.03,0.44,0.63,2015/11/1,118,N,VIIRS,n,1,283.62,0.7,N,2
51.576565,-3.780911,296.32,0.44,0.63,2015/11/1,118,N,VIIRS,n,1,282.53,0.7,N,2
51.26783,4.322883,297.02,0.4,0.44,2015/11/1,118,N,VIIRS,n,1,285.37,1.74,N,3
51.684338,-5.032713,297.25,0.5,0.66,2015/11/1,118,N,VIIRS,n,1,285.05,1.13,N,2
48.604488,21.177372,326.12,0.47,0.48,2015/11/1,118,N,VIIRS,n,1,273.86,3.76,N,2
48.605595,21.191874,298.63,0.47,0.48,2015/11/1,118,N,VIIRS,n,1,276.5,0.66,N,0
48.608639,21.179701,324.51,0.47,0.48,2015/11/1,118,N,VIIRS,n,1,277.78,3.76,N,2
48.609753,21.194187,300.89,0.47,0.48,2015/11/1,118,N,VIIRS,n,1,276.69,1.56,N,2
48.616943,21.184368,310.76,0.47,0.48,2015/11/1,118,N,VIIRS,n,1,274.48,3.8,N,2
50.655109,11.431914,312.91,0.39,0.36,2015/11/1,118,N,VIIRS,n,1,277.82,1.54,N,2
50.568581,12.39842,295.98,0.38,0.36,2015/11/1,118,N,VIIRS,n,1,273.03,0.52,N,0
51.296932,7.008281,316.08,0.48,0.4,2015/11/1,118,N,VIIRS,n,1,282.62,3.08,N,2
51.298744,7.008218,306.22,0.48,0.4,2015/11/1,118,N,VIIRS,n,1,281.88,1.91,N,2
51.36446,6.707941,330.41,0.49,0.4,2015/11/1,118,N,VIIRS,n,1,283.19,5.23,N,2
51.368176,6.708932,331.94,0.49,0.4,2015/11/1,118,N,VIIRS,n,1,286,5.23,N,2
51.460583,6.740089,327.4,0.49,0.4,2015/11/1,118,N,VIIRS,n,1,280.86,2.39,N,2
51.464294,6.7411,304.65,0.49,0.4,2015/11/1,118,N,VIIRS,n,1,280.45,2.39,N,2
51.481388,6.723727,313.03,0.49,0.41,2015/11/1,118,N,VIIRS,n,1,280.82,2.54,N,2
51.484367,6.695133,299.78,0.49,0.41,2015/11/1,118,N,VIIRS,n,1,280.71,2.74,N,2
51.482132,6.716599,328.58,0.49,0.41,2015/11/1,118,N,VIIRS,n,1,281.84,5.71,N,2
51.482876,6.709475,335.83,0.49,0.41,2015/11/1,118,N,VIIRS,n,1,283.93,5.71,N,2
51.48362,6.702316,328.12,0.49,0.41,2015/11/1,118,N,VIIRS,n,1,282.78,2.74,N,2
51.486591,6.710495,322.27,0.49,0.41,2015/11/1,118,N,VIIRS,n,1,283.18,3.54,N,2
51.491043,6.741021,324.36,0.49,0.4,2015/11/1,118,N,VIIRS,n,1,281.05,3.71,N,2
51.491791,6.733899,327.1,0.49,0.4,2015/11/1,118,N,VIIRS,n,1,281.88,6.99,N,3
51.494755,6.742043,325.73,0.49,0.4,2015/11/1,118,N,VIIRS,n,1,283.97,3.71,N,2
51.499973,6.728758,300.42,0.49,0.41,2015/11/1,118,N,VIIRS,n,1,283.16,1.51,N,3
51.502937,6.736933,308.96,0.49,0.4,2015/11/1,118,N,VIIRS,n,1,283.22,1.51,N,3
51.506657,6.737922,298.51,0.49,0.4,2015/11/1,118,N,VIIRS,n,1,282.95,0.96,N,3
50.977699,11.255889,297.59,0.39,0.36,2015/11/1,118,N,VIIRS,n,1,274.86,0.38,N,0
49.678452,18.663589,303.91,0.53,0.42,2015/11/1,118,N,VIIRS,n,1,277.06,1.06,N,3
49.815029,18.309996,314.05,0.51,0.41,2015/11/1,118,N,VIIRS,n,1,276.17,2.2,N,2
51.881428,4.365709,297.57,0.4,0.45,2015/11/1,118,N,VIIRS,n,1,282.91,0.89,N,0
51.944191,4.109619,296.52,0.41,0.45,2015/11/1,118,N,VIIRS,n,1,284.56,1.2,N,3
52.236248,-0.599039,338.9,0.33,0.55,2015/11/1,118,N,VIIRS,n,1,282.11,2.75,N,0
52.322155,-1.825417,295.07,0.37,0.58,2015/11/1,118,N,VIIRS,n,1,279.74,0.83,N,0
